Model,,Parameters,Params_perc,Accuracy,Reference AlexNet accuracy,F1,Size[MB],Model,Time[s],Model,params,AlexNet
model_0.01_al.h5,0.01,817,0.021800712138807,75.36,94.2,0.868804664723032,0.0338134765625,model_0.01_al.h5,0.007138447284698,model_0.01_al.h5,817,2.92292093457247
model_0.02_al.h5,0.02,2308,0.061586344695676,92.32,94.2,0.935546875,0.040733337402344,model_0.02_al.h5,0.007849369049072,model_0.02_al.h5,2308,2.99179444655626
model_0.03_al.h5,0.03,4415,0.117809233895758,90.3,94.2,0.922320550639135,0.048713684082031,model_0.03_al.h5,0.009071866035461,model_0.03_al.h5,4415,2.97762420567135
model_0.04_al.h5,0.04,7247,0.19337792028144,92.56,94.2,0.915057915057915,0.059452056884766,model_0.04_al.h5,0.010040671348572,model_0.04_al.h5,7247,2.96953331149814
model_0.05_al.h5,0.05,11224,0.299499624291277,91.92,94.2,0.919024390243902,0.074558258056641,model_0.05_al.h5,0.011704464435577,model_0.05_al.h5,11224,2.97278671471285
model_0.06_al.h5,0.06,15505,0.413733221189972,92.46,94.2,0.921904761904762,0.090824127197266,model_0.06_al.h5,0.013185816287994,model_0.06_al.h5,15505,2.97491644217834
model_0.07_al.h5,0.07,21125,0.563696504201107,93,94.2,0.921259842519685,0.112190246582031,model_0.07_al.h5,0.015770014762879,model_0.07_al.h5,21125,2.97300272525252
model_0.08_al.h5,0.08,26855,0.716595011612815,93,94.2,0.940944881889764,0.133983612060547,model_0.08_al.h5,0.016894418239594,model_0.08_al.h5,26855,2.99221015331032
model_0.09_al.h5,0.09,33081,0.882728712685293,93.72,94.2,0.948090107737512,0.157669067382813,model_0.09_al.h5,0.018763298988342,model_0.09_al.h5,33081,2.99831467822405
model_0.1_al.h5,0.1,40152,1.07141027392581,93.62,94.2,0.942213516160627,0.184577941894531,model_0.1_al.h5,0.023818291187286,model_0.1_al.h5,40152,2.9907316501047
model_0.11_al.h5,0.11,47864,1.27719618826423,93.14,94.2,0.928361138370952,0.213943481445312,model_0.11_al.h5,0.022021569252014,model_0.11_al.h5,47864,2.97473994083168
model_0.12_al.h5,0.12,57439,1.53269413040508,93.8,94.2,0.945631067961165,0.250396728515625,model_0.12_al.h5,0.025041905879974,model_0.12_al.h5,57439,2.99064547396621
model_0.13_al.h5,0.13,66682,1.77933303162784,94.08,94.2,0.936336924583741,0.285591125488281,model_0.13_al.h5,0.028285056591034,model_0.13_al.h5,66682,2.97904990566985
model_0.14_al.h5,0.14,77900,2.07867255277,93.7,94.2,0.925024342745862,0.328311920166016,model_0.14_al.h5,0.030420475959778,model_0.14_al.h5,77900,2.9649669752737
model_0.15_al.h5,0.15,86871,2.31805344456589,94.12,94.2,0.959921798631476,0.362476348876953,model_0.15_al.h5,0.031836296081543,model_0.15_al.h5,86871,2.99925523606658
