Model,,Parameters,Params_perc,Model accuracy,Reference VGG16 accuracy,F1,Size,Model,Time,Model,params,VGG 16
model_0.01.h5,0.01,2296,0.015603456899664,50,94.6,0,0.064476013183594,model_0.01.h5,0.021094589233398,model_0.01.h5,2296,2.01002666032915
model_0.02.h5,0.02,8377,0.056929511519374,50,94.6,0,0.089405059814453,model_0.02.h5,0.025496695041657,model_0.02.h5,8377,2.00961339978296
model_0.03.h5,0.03,24425,0.165990607480091,50,94.6,0,0.149391174316406,model_0.03.h5,0.047269060611725,model_0.03.h5,24425,2.00852278882335
model_0.04.h5,0.04,40951,0.278300158318002,50,94.6,0,0.212455749511719,model_0.04.h5,0.068554532527924,model_0.04.h5,40951,2.00739969331497
model_0.05.h5,0.05,73025,0.496272839763915,66.9,94.6,0.69936421435059,0.334556579589844,model_0.05.h5,0.090511956214905,model_0.05.h5,73025,2.74378635739187
model_0.06.h5,0.06,107760,0.732329492816973,65.6,94.6,0.683823529411765,0.46783447265625,model_0.06.h5,0.140549638271332,model_0.06.h5,107760,2.72522505347168
model_0.07.h5,0.07,128416,0.872706237468304,58.4,94.6,0.633802816901408,0.546489715576172,model_0.07.h5,0.170618200302124,model_0.07.h5,128416,2.67236458508154
model_0.08.h5,0.08,151992,1.03292709977949,67.3,94.6,0.715404699738903,0.636062622070313,model_0.08.h5,0.203996126651764,model_0.08.h5,151992,2.75535660629727
model_0.09.h5,0.09,199108,1.35312417089645,81.5,94.6,0.824311490978158,0.815345764160156,model_0.09.h5,0.250901532173157,model_0.09.h5,199108,2.86452491657481
model_0.1.h5,0.1,257418,1.74939489032999,69.9,94.6,0.658342792281498,1.03754425048828,model_0.1.h5,0.280615599155426,model_0.1.h5,257418,2.68702304506593
model_0.11.h5,0.11,303500,2.06256496909754,76.5,94.6,0.798283261802575,1.21289825439453,model_0.11.h5,0.353955781459808,model_0.11.h5,303500,2.83094124978222
model_0.12.h5,0.12,374231,2.54324794382321,83.2,94.6,0.84180790960452,1.4842414855957,model_0.12.h5,0.475084018707275,model_0.12.h5,374231,2.87080924202868
model_0.13.h5,0.13,401447,2.72820599390215,77.2,94.6,0.788888888888889,1.58795928955078,model_0.13.h5,0.516377148628235,model_0.13.h5,401447,2.81415222642767
model_0.14.h5,0.14,470271,3.19592912877256,90.1,94.6,0.905624404194471,1.85007476806641,model_0.14.h5,0.58015807390213,model_0.14.h5,470271,2.93045282849241
model_0.15.h5,0.15,516342,3.50902445230235,78,94.6,0.775967413441955,2.02568435668945,model_0.15.h5,0.620714769363403,model_0.15.h5,516342,2.79244432737754
model_0.16.h5,0.16,605096,4.11219048613195,90,94.6,0.903288201160541,2.36384201049805,model_0.16.h5,0.758032701015472,model_0.16.h5,605096,2.91883300038972
model_0.17.h5,0.17,664012,4.51257953957298,87,94.6,0.864583333333333,2.58840942382812,model_0.17.h5,0.812123167514801,model_0.17.h5,664012,2.87442607439713
model_0.18.h5,0.18,761672,5.17627013226512,95.4,94.6,0.95427435387674,2.96070861816406,model_0.18.h5,0.896751646995545,model_0.18.h5,761672,2.96108474909834
model_0.19.h5,0.19,917764,6.23706054793686,85.8,94.6,0.861598440545809,3.55776977539062,model_0.19.h5,1.08379098415375,model_0.21.h5,917764,2.85428656217201
model_0.2.h5,0.2,964407,6.55404314383016,95.9,94.6,0.959365708622399,3.73564529418945,model_0.2.h5,1.20020321846008,model_0.19.h5,964407,2.95259769839677
model_0.21.h5,0.21,992359,6.7440029989083,97.4,94.6,0.973843058350101,3.84217834472656,model_0.21.h5,1.13670598268509,model_0.2.h5,992359,2.96572436897008
model_0.22.h5,0.22,1052662,7.15381800823776,93.2,94.6,0.932,4.07210159301758,model_0.22.h5,1.20924628019333,model_0.22.h5,1052662,2.91816574482769
model_0.23.h5,0.23,1124233,7.64020956475598,93.7,94.6,0.937685459940653,4.34497451782227,model_0.23.h5,1.25886046171188,model_0.23.h5,1124233,2.91922319359696
model_0.24.h5,0.24,1282368,8.71488406685891,92.2,94.6,0.920408163265306,4.94788360595703,model_0.24.h5,1.45360588312149,model_0.24.h5,1282368,2.89047783661994
model_0.25.h5,0.25,1402763,9.53308014413897,92.2,94.6,0.924710424710425,5.40694046020508,model_0.25.h5,1.56272374868393,model_0.25.h5,1402763,2.88686303237062
model_0.26.h5,0.26,1418875,9.64257617966484,90.9,94.6,0.913250714966635,5.46836090087891,model_0.26.h5,1.62517727613449,model_0.26.h5,1418875,2.87389958005567
model_0.27.h5,0.27,1575496,10.7069616426797,92.3,94.6,0.924435721295387,6.06557083129883,model_0.27.h5,1.77120270967484,model_0.27.h5,1575496,2.87480976901732
model_0.28.h5,0.28,1755148,11.9278641857714,86.1,94.6,0.845039018952063,6.75193786621094,model_0.28.h5,1.98408551931381,model_0.29.h5,1755148,2.7797310285152
model_0.29.h5,0.29,1770727,12.0337379902313,96.3,94.6,0.963546798029557,6.81140899658203,model_0.29.h5,2.02795931816101,model_0.28.h5,1770727,2.90214794910163
model_0.3.h5,0.3,1999937,13.5914332672225,91.8,94.6,0.917505030181086,7.68595504760742,model_0.3.h5,2.24140882015228,model_0.3.h5,1999937,2.83872178697921
model_0.31.h5,0.31,2065804,14.039060834997,93.9,94.6,0.938446014127144,7.93712997436523,model_0.31.h5,2.28878779411316,model_0.31.h5,2065804,2.85599640094917
model_0.32.h5,0.32,2232127,15.169380417716,91.1,94.6,0.906217070600632,8.57135009765625,model_0.32.h5,2.42392520666122,model_0.32.h5,2232127,2.81111916160187
model_0.33.h5,0.33,2291157,15.5705442072574,94.9,94.6,0.948640483383686,8.79643249511719,model_0.33.h5,2.55273137331009,model_0.33.h5,2291157,2.85127540988191
model_0.34.h5,0.34,2456868,16.6967046803847,92,94.6,0.918032786885246,9.42835235595703,model_0.34.h5,2.68159355640411,model_0.34.h5,2456868,2.80818366181693
model_0.35.h5,0.35,2701236,18.3574126750088,94.9,94.6,0.949852507374631,10.3619804382324,model_0.35.h5,2.94941093206406,model_0.35.h5,2701236,2.82469337487631
